realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1954-01-01,31.1226
2019-12-23,2019-12-23,1954-02-01,31.7319
2019-12-23,2019-12-23,1954-03-01,31.2966
2019-12-23,2019-12-23,1954-04-01,31.5578
2019-12-23,2019-12-23,1954-05-01,31.6013
2019-12-23,2019-12-23,1954-06-01,31.1225
2019-12-23,2019-12-23,1954-07-01,31.2966
2019-12-23,2019-12-23,1954-08-01,30.9484
2019-12-23,2019-12-23,1954-09-01,31.5578
2019-12-23,2019-12-23,1954-10-01,32.1237
2019-12-23,2019-12-23,1954-11-01,32.7331
2019-12-23,2019-12-23,1954-12-01,32.7766
2019-12-23,2019-12-23,1955-01-01,32.6460
2019-12-23,2019-12-23,1955-02-01,34.4307
2019-12-23,2019-12-23,1955-03-01,33.3860
2019-12-23,2019-12-23,1955-04-01,33.2119
2019-12-23,2019-12-23,1955-05-01,33.0813
2019-12-23,2019-12-23,1955-06-01,33.4730
2019-12-23,2019-12-23,1955-07-01,34.1260
2019-12-23,2019-12-23,1955-08-01,33.2119
2019-12-23,2019-12-23,1955-09-01,33.9083
2019-12-23,2019-12-23,1955-10-01,34.8224
2019-12-23,2019-12-23,1955-11-01,34.9095
2019-12-23,2019-12-23,1955-12-01,34.9530
2019-12-23,2019-12-23,1956-01-01,35.4754
2019-12-23,2019-12-23,1956-02-01,35.7800
2019-12-23,2019-12-23,1956-03-01,36.0847
2019-12-23,2019-12-23,1956-04-01,36.1718
2019-12-23,2019-12-23,1956-05-01,35.0836
2019-12-23,2019-12-23,1956-06-01,36.4765
2019-12-23,2019-12-23,1956-07-01,36.1718
2019-12-23,2019-12-23,1956-08-01,36.7377
2019-12-23,2019-12-23,1956-09-01,37.0859
2019-12-23,2019-12-23,1956-10-01,36.4765
2019-12-23,2019-12-23,1956-11-01,36.7812
2019-12-23,2019-12-23,1956-12-01,36.6506
2019-12-23,2019-12-23,1957-01-01,37.0859
2019-12-23,2019-12-23,1957-02-01,36.7812
2019-12-23,2019-12-23,1957-03-01,36.3024
2019-12-23,2019-12-23,1957-04-01,37.0859
2019-12-23,2019-12-23,1957-05-01,37.7388
2019-12-23,2019-12-23,1957-06-01,37.3035
2019-12-23,2019-12-23,1957-07-01,35.3883
2019-12-23,2019-12-23,1957-08-01,37.0423
2019-12-23,2019-12-23,1957-09-01,37.3471
2019-12-23,2019-12-23,1957-10-01,36.6506
2019-12-23,2019-12-23,1957-11-01,35.8236
2019-12-23,2019-12-23,1957-12-01,35.8671
2019-12-23,2019-12-23,1958-01-01,35.0401
2019-12-23,2019-12-23,1958-02-01,34.8224
2019-12-23,2019-12-23,1958-03-01,34.1260
2019-12-23,2019-12-23,1958-04-01,34.6918
2019-12-23,2019-12-23,1958-05-01,35.2141
2019-12-23,2019-12-23,1958-06-01,35.6930
2019-12-23,2019-12-23,1958-07-01,36.0412
2019-12-23,2019-12-23,1958-08-01,35.8671
2019-12-23,2019-12-23,1958-09-01,36.3894
2019-12-23,2019-12-23,1958-10-01,36.6941
2019-12-23,2019-12-23,1958-11-01,36.9118
2019-12-23,2019-12-23,1958-12-01,37.5212
2019-12-23,2019-12-23,1959-01-01,38.3482
2019-12-23,2019-12-23,1959-02-01,37.8258
2019-12-23,2019-12-23,1959-03-01,38.7835
2019-12-23,2019-12-23,1959-04-01,38.6093
2019-12-23,2019-12-23,1959-05-01,37.8694
2019-12-23,2019-12-23,1959-06-01,37.8694
2019-12-23,2019-12-23,1959-07-01,36.9988
2019-12-23,2019-12-23,1959-08-01,37.6082
2019-12-23,2019-12-23,1959-09-01,37.3470
2019-12-23,2019-12-23,1959-10-01,37.1294
2019-12-23,2019-12-23,1959-11-01,38.5658
2019-12-23,2019-12-23,1959-12-01,38.0435
2019-12-23,2019-12-23,1960-01-01,37.5647
2019-12-23,2019-12-23,1960-02-01,37.9564
2019-12-23,2019-12-23,1960-03-01,38.3482
2019-12-23,2019-12-23,1960-04-01,39.5234
2019-12-23,2019-12-23,1960-05-01,38.4352
2019-12-23,2019-12-23,1960-06-01,38.2611
2019-12-23,2019-12-23,1960-07-01,39.2187
2019-12-23,2019-12-23,1960-08-01,38.9141
2019-12-23,2019-12-23,1960-09-01,38.9141
2019-12-23,2019-12-23,1960-10-01,39.1317
2019-12-23,2019-12-23,1960-11-01,38.5223
2019-12-23,2019-12-23,1960-12-01,38.7835
2019-12-23,2019-12-23,1961-01-01,39.1317
2019-12-23,2019-12-23,1961-02-01,40.7423
2019-12-23,2019-12-23,1961-03-01,38.6529
2019-12-23,2019-12-23,1961-04-01,38.6964
2019-12-23,2019-12-23,1961-05-01,38.9576
2019-12-23,2019-12-23,1961-06-01,37.7823
2019-12-23,2019-12-23,1961-07-01,40.5681
2019-12-23,2019-12-23,1961-08-01,39.9152
2019-12-23,2019-12-23,1961-09-01,38.4352
2019-12-23,2019-12-23,1961-10-01,40.2634
2019-12-23,2019-12-23,1961-11-01,40.7422
2019-12-23,2019-12-23,1961-12-01,40.2634
2019-12-23,2019-12-23,1962-01-01,40.7422
2019-12-23,2019-12-23,1962-02-01,41.0469
2019-12-23,2019-12-23,1962-03-01,40.9599
2019-12-23,2019-12-23,1962-04-01,41.3081
2019-12-23,2019-12-23,1962-05-01,41.3951
2019-12-23,2019-12-23,1962-06-01,41.4387
2019-12-23,2019-12-23,1962-07-01,41.5257
2019-12-23,2019-12-23,1962-08-01,40.0458
2019-12-23,2019-12-23,1962-09-01,41.3081
2019-12-23,2019-12-23,1962-10-01,41.3516
2019-12-23,2019-12-23,1962-11-01,41.6998
2019-12-23,2019-12-23,1962-12-01,42.3093
2019-12-23,2019-12-23,1963-01-01,43.2669
2019-12-23,2019-12-23,1963-02-01,44.3115
2019-12-23,2019-12-23,1963-03-01,44.3115
2019-12-23,2019-12-23,1963-04-01,42.2222
2019-12-23,2019-12-23,1963-05-01,43.0057
2019-12-23,2019-12-23,1963-06-01,43.3539
2019-12-23,2019-12-23,1963-07-01,42.7880
2019-12-23,2019-12-23,1963-08-01,43.5281
2019-12-23,2019-12-23,1963-09-01,43.9198
2019-12-23,2019-12-23,1963-10-01,44.0503
2019-12-23,2019-12-23,1963-11-01,43.9633
2019-12-23,2019-12-23,1963-12-01,43.7022
2019-12-23,2019-12-23,1964-01-01,43.9633
2019-12-23,2019-12-23,1964-02-01,44.1810
2019-12-23,2019-12-23,1964-03-01,44.1374
2019-12-23,2019-12-23,1964-04-01,44.5292
2019-12-23,2019-12-23,1964-05-01,45.0515
2019-12-23,2019-12-23,1964-06-01,44.6162
2019-12-23,2019-12-23,1964-07-01,44.7903
2019-12-23,2019-12-23,1964-08-01,44.1810
2019-12-23,2019-12-23,1964-09-01,44.0504
2019-12-23,2019-12-23,1964-10-01,44.3550
2019-12-23,2019-12-23,1964-11-01,44.1374
2019-12-23,2019-12-23,1964-12-01,44.3986
2019-12-23,2019-12-23,1965-01-01,44.5727
2019-12-23,2019-12-23,1965-02-01,44.7468
2019-12-23,2019-12-23,1965-03-01,44.6597
2019-12-23,2019-12-23,1965-04-01,44.5292
2019-12-23,2019-12-23,1965-05-01,44.3115
2019-12-23,2019-12-23,1965-06-01,44.6597
2019-12-23,2019-12-23,1965-07-01,45.3562
2019-12-23,2019-12-23,1965-08-01,45.4868
2019-12-23,2019-12-23,1965-09-01,44.7468
2019-12-23,2019-12-23,1965-10-01,45.1386
2019-12-23,2019-12-23,1965-11-01,46.1832
2019-12-23,2019-12-23,1965-12-01,46.2703
2019-12-23,2019-12-23,1966-01-01,47.0103
2019-12-23,2019-12-23,1966-02-01,46.3573
2019-12-23,2019-12-23,1966-03-01,46.4879
2019-12-23,2019-12-23,1966-04-01,46.7491
2019-12-23,2019-12-23,1966-05-01,47.1408
2019-12-23,2019-12-23,1966-06-01,45.8786
2019-12-23,2019-12-23,1966-07-01,46.8797
2019-12-23,2019-12-23,1966-08-01,47.5761
2019-12-23,2019-12-23,1966-09-01,47.7502
2019-12-23,2019-12-23,1966-10-01,48.4902
2019-12-23,2019-12-23,1966-11-01,47.3585
2019-12-23,2019-12-23,1966-12-01,47.0973
2019-12-23,2019-12-23,1967-01-01,47.4329
2019-12-23,2019-12-23,1967-02-01,46.8587
2019-12-23,2019-12-23,1967-03-01,47.2985
2019-12-23,2019-12-23,1967-04-01,47.9757
2019-12-23,2019-12-23,1967-05-01,47.8328
2019-12-23,2019-12-23,1967-06-01,48.6948
2019-12-23,2019-12-23,1967-07-01,48.1249
2019-12-23,2019-12-23,1967-08-01,48.6539
2019-12-23,2019-12-23,1967-09-01,49.6283
2019-12-23,2019-12-23,1967-10-01,49.7897
2019-12-23,2019-12-23,1967-11-01,49.4386
2019-12-23,2019-12-23,1967-12-01,50.0967
2019-12-23,2019-12-23,1968-01-01,49.8780
2019-12-23,2019-12-23,1968-02-01,50.7356
2019-12-23,2019-12-23,1968-03-01,50.4418
2019-12-23,2019-12-23,1968-04-01,49.6864
2019-12-23,2019-12-23,1968-05-01,51.3594
2019-12-23,2019-12-23,1968-06-01,51.3232
2019-12-23,2019-12-23,1968-07-01,51.5253
2019-12-23,2019-12-23,1968-08-01,51.5218
2019-12-23,2019-12-23,1968-09-01,51.3061
2019-12-23,2019-12-23,1968-10-01,51.0731
2019-12-23,2019-12-23,1968-11-01,51.4819
2019-12-23,2019-12-23,1968-12-01,52.2102
2019-12-23,2019-12-23,1969-01-01,49.3812
2019-12-23,2019-12-23,1969-02-01,52.2748
2019-12-23,2019-12-23,1969-03-01,52.4346
