realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1939-01-01,3.3789
2019-12-23,2019-12-23,1939-02-01,3.4047
2019-12-23,2019-12-23,1939-03-01,3.4821
2019-12-23,2019-12-23,1939-04-01,3.5079
2019-12-23,2019-12-23,1939-05-01,3.5337
2019-12-23,2019-12-23,1939-06-01,3.5594
2019-12-23,2019-12-23,1939-07-01,3.5594
2019-12-23,2019-12-23,1939-08-01,3.5852
2019-12-23,2019-12-23,1939-09-01,3.6884
2019-12-23,2019-12-23,1939-10-01,3.6884
2019-12-23,2019-12-23,1939-11-01,3.7400
2019-12-23,2019-12-23,1939-12-01,3.7400
2019-12-23,2019-12-23,1940-01-01,3.7658
2019-12-23,2019-12-23,1940-02-01,3.8174
2019-12-23,2019-12-23,1940-03-01,3.8432
2019-12-23,2019-12-23,1940-04-01,3.8432
2019-12-23,2019-12-23,1940-05-01,3.8948
2019-12-23,2019-12-23,1940-06-01,3.9206
2019-12-23,2019-12-23,1940-07-01,3.9206
2019-12-23,2019-12-23,1940-08-01,3.9721
2019-12-23,2019-12-23,1940-09-01,3.9979
2019-12-23,2019-12-23,1940-10-01,4.0495
2019-12-23,2019-12-23,1940-11-01,4.1527
2019-12-23,2019-12-23,1940-12-01,4.1527
2019-12-23,2019-12-23,1941-01-01,4.2043
2019-12-23,2019-12-23,1941-02-01,4.2301
2019-12-23,2019-12-23,1941-03-01,4.3074
2019-12-23,2019-12-23,1941-04-01,4.3332
2019-12-23,2019-12-23,1941-05-01,4.3848
2019-12-23,2019-12-23,1941-06-01,4.4364
2019-12-23,2019-12-23,1941-07-01,4.4880
2019-12-23,2019-12-23,1941-08-01,4.5138
2019-12-23,2019-12-23,1941-09-01,4.5654
2019-12-23,2019-12-23,1941-10-01,4.5912
2019-12-23,2019-12-23,1941-11-01,4.6170
2019-12-23,2019-12-23,1941-12-01,4.7201
2019-12-23,2019-12-23,1942-01-01,4.8233
2019-12-23,2019-12-23,1942-02-01,4.8491
2019-12-23,2019-12-23,1942-03-01,4.8749
2019-12-23,2019-12-23,1942-04-01,4.9007
2019-12-23,2019-12-23,1942-05-01,4.8749
2019-12-23,2019-12-23,1942-06-01,4.9007
2019-12-23,2019-12-23,1942-07-01,5.0297
2019-12-23,2019-12-23,1942-08-01,5.0812
2019-12-23,2019-12-23,1942-09-01,5.1070
2019-12-23,2019-12-23,1942-10-01,5.1328
2019-12-23,2019-12-23,1942-11-01,5.1844
2019-12-23,2019-12-23,1942-12-01,5.2618
2019-12-23,2019-12-23,1943-01-01,5.2360
2019-12-23,2019-12-23,1943-02-01,5.2876
2019-12-23,2019-12-23,1943-03-01,5.3392
2019-12-23,2019-12-23,1943-04-01,5.3908
2019-12-23,2019-12-23,1943-05-01,5.4165
2019-12-23,2019-12-23,1943-06-01,5.5197
2019-12-23,2019-12-23,1943-07-01,5.5197
2019-12-23,2019-12-23,1943-08-01,5.5713
2019-12-23,2019-12-23,1943-09-01,5.7003
2019-12-23,2019-12-23,1943-10-01,5.7261
2019-12-23,2019-12-23,1943-11-01,5.7777
2019-12-23,2019-12-23,1943-12-01,5.7777
2019-12-23,2019-12-23,1944-01-01,5.7519
2019-12-23,2019-12-23,1944-02-01,5.8034
2019-12-23,2019-12-23,1944-03-01,5.9066
2019-12-23,2019-12-23,1944-04-01,5.9582
2019-12-23,2019-12-23,1944-05-01,5.9324
2019-12-23,2019-12-23,1944-06-01,5.9066
2019-12-23,2019-12-23,1944-07-01,5.8292
2019-12-23,2019-12-23,1944-08-01,5.8808
2019-12-23,2019-12-23,1944-09-01,5.8808
2019-12-23,2019-12-23,1944-10-01,5.8808
2019-12-23,2019-12-23,1944-11-01,5.8808
2019-12-23,2019-12-23,1944-12-01,5.9066
2019-12-23,2019-12-23,1945-01-01,6.0098
2019-12-23,2019-12-23,1945-02-01,6.0356
2019-12-23,2019-12-23,1945-03-01,5.9840
2019-12-23,2019-12-23,1945-04-01,5.9840
2019-12-23,2019-12-23,1945-05-01,6.0356
2019-12-23,2019-12-23,1945-06-01,6.0872
2019-12-23,2019-12-23,1945-07-01,6.0356
2019-12-23,2019-12-23,1945-08-01,5.9582
2019-12-23,2019-12-23,1945-09-01,5.8808
2019-12-23,2019-12-23,1945-10-01,5.8808
2019-12-23,2019-12-23,1945-11-01,5.8808
2019-12-23,2019-12-23,1945-12-01,5.9582
2019-12-23,2019-12-23,1946-01-01,5.9324
2019-12-23,2019-12-23,1946-02-01,5.9582
2019-12-23,2019-12-23,1946-03-01,5.9582
2019-12-23,2019-12-23,1946-04-01,6.0614
2019-12-23,2019-12-23,1946-05-01,6.0614
2019-12-23,2019-12-23,1946-06-01,6.0872
2019-12-23,2019-12-23,1946-07-01,6.2161
2019-12-23,2019-12-23,1946-08-01,6.3451
2019-12-23,2019-12-23,1946-09-01,6.4483
2019-12-23,2019-12-23,1946-10-01,6.5257
2019-12-23,2019-12-23,1946-11-01,6.5514
2019-12-23,2019-12-23,1946-12-01,6.5772
2019-12-23,2019-12-23,1947-01-01,6.3451
2019-12-23,2019-12-23,1947-02-01,6.3967
2019-12-23,2019-12-23,1947-03-01,6.4483
2019-12-23,2019-12-23,1947-04-01,6.5772
2019-12-23,2019-12-23,1947-05-01,6.6804
2019-12-23,2019-12-23,1947-06-01,6.7062
2019-12-23,2019-12-23,1947-07-01,6.7578
2019-12-23,2019-12-23,1947-08-01,6.8352
2019-12-23,2019-12-23,1947-09-01,6.9125
2019-12-23,2019-12-23,1947-10-01,6.9641
2019-12-23,2019-12-23,1947-11-01,7.0157
2019-12-23,2019-12-23,1947-12-01,7.0673
2019-12-23,2019-12-23,1948-01-01,7.1963
2019-12-23,2019-12-23,1948-02-01,7.2221
2019-12-23,2019-12-23,1948-03-01,7.3768
2019-12-23,2019-12-23,1948-04-01,7.3252
2019-12-23,2019-12-23,1948-05-01,7.3768
2019-12-23,2019-12-23,1948-06-01,7.4284
2019-12-23,2019-12-23,1948-07-01,7.5316
2019-12-23,2019-12-23,1948-08-01,7.5832
2019-12-23,2019-12-23,1948-09-01,7.6863
2019-12-23,2019-12-23,1948-10-01,7.7637
2019-12-23,2019-12-23,1948-11-01,7.8411
2019-12-23,2019-12-23,1948-12-01,7.8411
2019-12-23,2019-12-23,1949-01-01,7.7895
2019-12-23,2019-12-23,1949-02-01,7.8153
2019-12-23,2019-12-23,1949-03-01,7.8153
2019-12-23,2019-12-23,1949-04-01,7.8411
